id,external_ref,stage,group_name,home_team,away_team,kickoff_utc,venue,result_90,home_goals,away_goals,advanced
c4471847-7b6e-4b7b-aaf7-1c6624b96f86,760472,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City, Missouri",away,1,3,away
c4c463ec-80de-4398-8866-4d9745343f13,760471,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,"AT&T Stadium, Arlington, Texas",draw,1,1,
57021676-294c-4c7e-ac20-8fce1f274ed4,760469,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,"Levi's Stadium, Santa Clara, California",draw,0,0,
1f368c29-5b1c-4707-b95b-3c6427d4f0c5,760470,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,"SoFi Stadium, Inglewood, California",home,3,2,home
e74698c2-1769-4ea5-af72-1f0d4765039e,760475,group,I,Norway,France,2026-06-26T19:00:00+00:00,"Gillette Stadium, Foxborough, Massachusetts",away,1,4,away
55aa986f-dd03-4a3f-a84b-467920315e34,760474,group,I,Senegal,Iraq,2026-06-26T19:00:00+00:00,"BMO Field, Toronto",home,5,0,home
c165b560-446a-4c84-9378-c3a2092a31a8,760478,group,H,Cape Verde,Saudi Arabia,2026-06-27T00:00:00+00:00,"NRG Stadium, Houston, Texas",draw,0,0,
168e3b1e-d86b-4a36-a2d0-a45b206429dc,760479,group,H,Uruguay,Spain,2026-06-27T00:00:00+00:00,"Estadio Akron, Guadalajara",away,0,1,away
cb5d98b5-39fc-4e6b-8beb-87241da763e5,760476,group,G,Egypt,Iran,2026-06-27T03:00:00+00:00,"Lumen Field, Seattle, Washington",draw,1,1,
947e6452-102e-4e97-ace3-d3091276def6,760477,group,G,New Zealand,Belgium,2026-06-27T03:00:00+00:00,"BC Place, Vancouver",away,1,5,away
42ce25fd-8790-46b0-ac1c-360795e9e3d0,760480,group,L,Croatia,Ghana,2026-06-27T21:00:00+00:00,"Lincoln Financial Field, Philadelphia, Pennsylvania",home,2,1,home
590b68cc-897d-44f6-b752-efbb575715eb,760485,group,L,Panama,England,2026-06-27T21:00:00+00:00,"MetLife Stadium, East Rutherford, New Jersey",away,0,2,away
d36223f6-9a53-4bd1-98a6-0fc1f5bdc7f3,760481,group,K,Colombia,Portugal,2026-06-27T23:30:00+00:00,"Hard Rock Stadium, Miami Gardens, Florida",draw,0,0,
a63cc8a8-a493-4cad-aae0-0e97b15ad6ed,760482,group,K,Congo DR,Uzbekistan,2026-06-27T23:30:00+00:00,"Mercedes-Benz Stadium, Atlanta, Georgia",home,3,1,home
c6c3ed52-e608-4f5f-a249-42872312c7eb,760484,group,J,Algeria,Austria,2026-06-28T02:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City, Missouri",draw,3,3,
154f09e9-9f7a-49f3-97e1-5f0541ea19f2,760483,group,J,Jordan,Argentina,2026-06-28T02:00:00+00:00,"AT&T Stadium, Arlington, Texas",away,1,3,away
459bb708-45fa-413b-9eb1-c6aced8353f5,760486,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,"SoFi Stadium, Inglewood, California",away,0,1,away
330a38f5-aee0-47fc-9e85-78836895dcbe,760487,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,"NRG Stadium, Houston, Texas",home,2,1,home
521ccec7-3628-4e33-ab3a-fbdfd93e0451,760489,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,"Gillette Stadium, Foxborough, Massachusetts",draw,1,1,away
be0c1f4f-6f26-49ff-929b-f973aa5a6175,760488,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,"Estadio BBVA, Guadalupe",draw,1,1,away
65b947b6-6c32-4adc-8c73-fbb6b5de7a03,760490,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,"AT&T Stadium, Arlington, Texas",away,1,2,away
53d9a926-1d2c-45ac-acec-037246545ad9,760492,r32,,France,Sweden,2026-06-30T21:00:00+00:00,"MetLife Stadium, East Rutherford, New Jersey",home,3,0,home
229d7a31-ca5b-46e8-a809-ed02ae3c7af1,760491,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,"Estadio Banorte, Mexico City",home,2,0,home
52bfb2c4-4a62-4967-81ba-7a0e7628dbe8,760495,r32,,England,Congo DR,2026-07-01T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta, Georgia",home,2,1,home
bacbbbbf-90a8-4419-b004-a329eccc095c,760493,r32,,Belgium,Senegal,2026-07-01T20:00:00+00:00,"Lumen Field, Seattle, Washington",draw,2,2,home
b7993530-91e3-40bd-b690-dfaf1ede0a65,760494,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,"Levi's Stadium, Santa Clara, California",home,2,0,home
f7ee84ed-ae71-4e5d-8261-4436a741e2ee,760497,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,"SoFi Stadium, Inglewood, California",home,3,0,home
75cb7bf2-b673-4ea3-9792-b678ae84b28d,760496,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,"BMO Field, Toronto",home,2,1,home
be497843-10ab-4384-b47f-401e831b3af2,760498,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,"BC Place, Vancouver",home,2,0,home
5d08ef03-666c-4a8a-b11b-f8a8cf30e6fc,760499,r32,,Australia,Egypt,2026-07-03T18:00:00+00:00,"AT&T Stadium, Arlington, Texas",draw,1,1,away
1eee6b06-b3e7-4929-9ace-e1cd261c214a,760500,r32,,Argentina,Cape Verde,2026-07-03T22:00:00+00:00,"Hard Rock Stadium, Miami Gardens, Florida",draw,1,1,home
43f37737-b931-472b-9acf-49b522f5abcb,760501,r32,,Colombia,Ghana,2026-07-04T01:30:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City, Missouri",home,1,0,home
ca7c40b6-6a36-4943-b2cf-65ce0811b9d2,760502,r16,,Canada,Morocco,2026-07-04T17:00:00+00:00,"NRG Stadium, Houston, Texas",away,0,3,away
bfd3a4b7-8899-4175-a886-db090e9a316c,760503,r16,,Paraguay,France,2026-07-04T21:00:00+00:00,"Lincoln Financial Field, Philadelphia, Pennsylvania",away,0,1,away
09058748-e390-40d7-8a97-61e70ce43884,760504,r16,,Brazil,Norway,2026-07-05T20:00:00+00:00,"MetLife Stadium, East Rutherford, New Jersey",away,1,2,away
2c508da6-9743-437d-bbc6-ad9815a8a18e,760505,r16,,Mexico,England,2026-07-06T01:00:00+00:00,"Estadio Banorte, Mexico City",away,2,3,away
9b15800c-2b54-40da-a2a3-382ea0ac7b6e,760506,r16,,Portugal,Spain,2026-07-06T19:00:00+00:00,"AT&T Stadium, Arlington, Texas",away,0,1,away
122fd051-1b9b-4969-9e6b-16f1f0edeb9d,760507,r16,,United States,Belgium,2026-07-07T00:00:00+00:00,"Lumen Field, Seattle, Washington",away,1,4,away
3565a219-c04c-4e2b-adc9-127a0557570d,760509,r16,,Argentina,Egypt,2026-07-07T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta, Georgia",home,3,2,home
a6cae5a9-08fb-4733-aa8b-ba84e832a240,760508,r16,,Switzerland,Colombia,2026-07-07T20:00:00+00:00,"BC Place, Vancouver",draw,0,0,home
5aa120a6-4eaf-4f67-a731-4b7086877e5e,760510,qf,,France,Morocco,2026-07-09T20:00:00+00:00,"Gillette Stadium, Foxborough, Massachusetts",home,2,0,home
1e326f87-2872-4f6b-a4ea-8585def10fc5,760511,qf,,Spain,Belgium,2026-07-10T19:00:00+00:00,"SoFi Stadium, Inglewood, California",home,2,1,home
4f335834-a463-4101-a44b-a3df2973f6a7,760512,qf,,Norway,England,2026-07-11T21:00:00+00:00,"Hard Rock Stadium, Miami Gardens, Florida",draw,1,1,away
634d3726-1699-429f-a4de-9f131af33386,760513,qf,,Argentina,Switzerland,2026-07-12T01:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City, Missouri",draw,1,1,home
c7c80153-3c13-4e66-a373-d494b41901c5,760514,sf,,France,Spain,2026-07-14T19:00:00+00:00,"AT&T Stadium, Arlington, Texas",away,0,2,away
a9976111-7b86-4fb9-84f4-87da0d25aa35,760515,sf,,England,Argentina,2026-07-15T19:00:00+00:00,"Mercedes-Benz Stadium, Atlanta, Georgia",away,1,2,away
23f14ee7-a564-477a-8aac-9a2159119ea9,760516,third,,France,England,2026-07-18T21:00:00+00:00,"Hard Rock Stadium, Miami Gardens, Florida",away,4,6,
97d8d909-6147-4020-9146-38ee43671cda,760517,final,,Spain,Argentina,2026-07-19T19:00:00+00:00,"MetLife Stadium, East Rutherford, New Jersey",draw,0,0,
